año,orden de compra,fecha,importe,proveedor,dependencia,expediente
2021,4,08-01-2021,19525,CARLOS GASTINEL Y CIA SRL,NO USAR-DIRECCION GRAL. DE TRANSITO,Suministro 37/2021
2021,141,21-01-2021,5400,DISPROAL,BALNEARIO MALDONADO,Suministro 33/2021
2021,14,11-01-2021,16400,EMBRAGUES ALESS,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 77/2021
2021,24,12-01-2021,28920696.32,ELECTROMECANICA R.I.,DEP. ELECTRICIDAD Y MECANICA,Suministro 71/2021
2021,434,09-02-2021,840000,SERVICIOS DE CONSTRUCCION OPREMA S.A.,NO USAR-DELEG. NORTE,Suministro 158/2021
2021,32,12-01-2021,5371.1,PROVINCIA SEGUROS S.A.,NO USAR-SUBSECRETARIA DE DEPORTES,Suministro 18/2021
2021,35,12-01-2021,281853,COOPERATIVA DE TRABAJO LA PRIMERA DE INGENIERO WHITE,NO USAR - DIRECCION GRAL. DE EDUCACION,Suministro 88/2021
2021,38,12-01-2021,21355.95,GRAFICA ZINGER S.A.,DIR. GRAL. DE CATASTRO Y OBRAS PARTICULARES,Suministro 147/2021
2021,306,29-01-2021,329108,GRUPO BAHIA BLANCA,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 110/2021
2021,47,13-01-2021,10390,PASQUALI RICARDO LUIS,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 5/2021
2021,48,13-01-2021,38346,HOSTING BAHIA,"ADMINISTRACION DE REDES, DATOS Y TRANSF. DIGITAL",Suministro 151/2021
2021,53,13-01-2021,97329,CARLOS GASTINEL Y CIA SRL,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 7/2021
2021,56,13-01-2021,4800,CASA MATAMOROS,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 82/2021
2021,61,13-01-2021,59049.15,HIDRAULICA BAHIA,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 45/2021
2021,64,13-01-2021,80000,BOLETIN OFICIAL,SECRETARIA GENERAL,Suministro 146/2021
2021,285,29-01-2021,72310,GRAFICA ZINGER S.A.,DIV. MESA DE ENTRADAS Y ARCHIVO,Suministro 72/2021
2021,69,13-01-2021,88000,AQUALIFE,DEP. COMPRAS,Suministro 95/2021
2021,439,09-02-2021,421391.5,CASA BLANCO S.A.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 155/2021
2021,83,15-01-2021,14100,ALVAREZ NEUMATICOS S.A.,NO USAR-DIRECCION GRAL. DE TRANSITO,Suministro 190/2021
2021,91,18-01-2021,26188656.94,COINCE BAHIA S.A.,DEP. VIALIDAD,Suministro 220/2021
2021,341,02-02-2021,478125,LIBRERIA DEL COLEGIO,ALMACEN DE COMPRAS,Suministro 43/2021
2021,426,09-02-2021,31136,OFISUR,ALMACEN DE COMPRAS,Suministro 289/2021
2021,112,21-01-2021,28956.5,COOPERATIVA DE TRABAJADORES UNIDOS LIMITADA,SEC. DE INFRAESTRUCTURA,Suministro 239/2021
2021,523,18-02-2021,4268000,INGENIERIA Y ARQUITECTURA SRL,NO USAR-DEP. DE LOGISTICA Y MANT. URBANO,Suministro 291/2021
2021,116,21-01-2021,5741,ELECTROMEDICINA DEL SUR S.R.L.,DIRECCION GRAL. DE ACCION SOCIAL,Suministro 268/2021
2021,118,21-01-2021,5880,FERRETERIA CENTRO,VETERINARIA Y ZOONOSIS,Suministro 119/2021
2021,402,08-02-2021,55738.55,INDUTEC BAHIA S.R.L.,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 223/2021
2021,133,21-01-2021,113437.5,DESAGOTES MELER,DEPARTAMENTO CEMENTERIO,Suministro 185/2021
2021,136,21-01-2021,6120,ASOCIACION ARGENTINA DE ACTORES,DIV. ACCESIBILIDAD E INCLUSION,Suministro 134/2021
2021,137,21-01-2021,26580,ALAUX NEUMATICOS,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 183/2021
2021,139,21-01-2021,9400,MARTINEZ GAMBINO INDUSTRIAL S.R.L.,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 256/2021
2021,358,04-02-2021,15258,DISPROAL,DEPARTAMENTO CEMENTERIO,Suministro 261/2021
2021,361,04-02-2021,7113.5,PROQUIM BAHIA SRL,DEPARTAMENTO CEMENTERIO,Suministro 261/2021
2021,176,22-01-2021,19360,FERNANDEZ PATRICIA,DIV. ACCESIBILIDAD E INCLUSION,Suministro 136/2021
2021,180,22-01-2021,6703,ENCENDIDOS PABLO,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 215/2021
2021,195,25-01-2021,21168,ENCENDIDOS PABLO,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 318/2021
2021,205,25-01-2021,370240,COOPERATIVA DE TRABAJO CENTRO LTDA.,DIR. DE LOGISTICA Y DISTRIBUCION,Suministro 209/2021
2021,208,25-01-2021,3282,ENCENDIDOS PABLO,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 271/2021
2021,579,23-02-2021,41600,CELSIUS COMERCIAL,MERCADO MUNICIPAL,Suministro 352/2021
2021,351,03-02-2021,12800,PALMA CARTELES S.R.L.,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 189/2021
2021,221,26-01-2021,2377785.11,VIGATA CONSTRUCCIONES S.A.,DEP. VIALIDAD,Suministro 356/2021
2021,222,26-01-2021,7200504.4,RIMSOL S.A.,DEP. VIALIDAD,Suministro 334/2021
2021,1584,06-04-2021,433333.41,CONSAR CONSTRUCTORA ARGENTINA S.R.L.,DEP. ELECTRICIDAD Y MECANICA,Suministro 343/2021
2021,608,24-02-2021,194915,OJEDA Y GUERRA S.H.,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 227/2021
2021,232,27-01-2021,292500,COOPERATIVA OBRERA LIMITADA DE CONSUMO Y VIVIENDA,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 164/2021
2021,509,18-02-2021,39712,CELSIUS COMERCIAL,DEP. ELECTRICIDAD Y MECANICA,Suministro 332/2021
2021,262,28-01-2021,20291.32,CO-TECNICA,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 382/2021
2021,526,19-02-2021,916244,DINAMED BAHIA S.R.L.,SUBSECRETARIA DE GESTION Y ECON DE LA SALUD,Suministro 60/2021
2021,525,19-02-2021,345772,EQUIPO GEMICO S.A.,SUBSECRETARIA DE GESTION Y ECON DE LA SALUD,Suministro 60/2021
2021,263,29-01-2021,5300,HOSTING BAHIA,MUSEO DE CIENCIAS NATURALES,Suministro 413/2021
2021,266,29-01-2021,595125.3,COOPERATIVA DE TRABAJO LA PRIMERA DE INGENIERO WHITE,COMITE TECNICO EJECUTIVO,Suministro 302/2021
2021,270,29-01-2021,24300,400FRIO S.A.,BALNEARIO MALDONADO,Suministro 415/2021
2021,329,01-02-2021,103245,EMBRAGUES LEMA,SUBSECRETARIA DE PROTECCION CIUDADANA,Suministro 191/2021
2021,846,02-03-2021,245016.46,BHAURAC S.A.,SEC. DE SALUD,Suministro 288/2021
2021,291,29-01-2021,174471.71,BAHIA AMBIENTAL SAPEM,SUBSEC. DE GESTION AMBIENTAL,Suministro 441/2021
2021,293,29-01-2021,36000,VAZQUEZ JAVIER,OFICINA DE COORDINACION NIDO,Suministro 320/2021
2021,309,29-01-2021,76500,PLUSMAR,SUBSECRETARIA DE GESTION Y ECON DE LA SALUD,Suministro 368/2021
2021,314,29-01-2021,118800,JETMAR,SERVICIO SOCIAL,Suministro 366/2021
2021,333,01-02-2021,321926.22,PROBRAS BAHIA S.R.L.,DEP. VIVIENDA,Suministro 235/2021
2021,489,17-02-2021,12556,BACIC S.R.L.,BALNEARIO MALDONADO,Suministro 358/2021
2021,389,08-02-2021,9808.87,PINTURERIA FERNANDEZ,SEC. DE SALUD,Suministro 424/2021
2021,990,10-03-2021,71097,S&M s.h.,SEC. DE SALUD,Suministro 439/2021
2021,992,10-03-2021,62500,DINAMED BAHIA S.R.L.,SEC. DE SALUD,Suministro 439/2021
2021,388,05-02-2021,29910,NUGGETS,INSTITUTO CULTURAL MUNICIPAL,Suministro 493/2021
2021,1279,23-03-2021,182932.15,DISTRIBUIDORA URUGUAY S.R.L.,SEC. DE SALUD,Suministro 456/2021
2021,414,09-02-2021,335000,RODOVIA S.A.,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 500/2021
2021,957,10-03-2021,376760,ELECTROMECANICA R.I.,DEP. MANTENIMIENTO DE ALUMBRADO PUBLICO,Suministro 437/2021
2021,451,10-02-2021,8467,FERRETERIA CENTRO,NO USAR-SUBSECRETARIA DE DEPORTES,Suministro 482/2021
2021,463,11-02-2021,5860,ENCENDIDOS PABLO,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 531/2021
2021,470,11-02-2021,4800,CASA MATAMOROS,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 520/2021
2021,481,12-02-2021,16800,EMBRAGUES ALESS,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 535/2021
2021,501,18-02-2021,4260,ACQUAMANSA,NO USAR - COMUNICACION ECOLOGICA URBANA,Suministro 562/2021
2021,520,18-02-2021,26300,MUHLEMANN RAUL BAUTISTA,INSTITUTO CULTURAL MUNICIPAL,Suministro 581/2021
2021,529,19-02-2021,250750,IMPRENTA MARQUEZ GARABANO,H.C.D.,Suministro 524/2021
2021,869,04-03-2021,89550,ZAPATILANDIA,HOGAR DEL ADOLESCENTE,Suministro 419/2021
2021,530,19-02-2021,308000,IACA LABORATORIOS,SEC. DE SALUD,Suministro 552/2021
2021,570,23-02-2021,45107.61,HIDRAULICA BAHIA,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 586/2021
2021,596,23-02-2021,120000,CLAIR EDUARDO JOAQUIN,COORD. DE REC. ARTISTICOS,Suministro 699/2021
2021,1227,19-03-2021,58791,SUPERMERCADO LA BANDERITA BAHIA S.A.,HOGAR REFUGIO DE VIOLENCIA FAMILIAR,Suministro 603/2021
2021,621,24-02-2021,5664.23,C3I S.A.,SUBSECRETARIA DE MEDIOS Y CONTENIDOS PUBLICOS,Suministro 633/2021
2021,980,10-03-2021,675000,FERREIRA SPORT,NO USAR-SUBSECRETARIA DE DEPORTES,Suministro 671/2021
2021,636,25-02-2021,6245,REPUESTOS TATO,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 614/2021
2021,637,25-02-2021,7330,REPUESTOS MAIPU,NO USAR-DEP. TALLERES Y MAESTRANZA,Suministro 614/2021
2021,1080,15-03-2021,1103600,MARINO MORRESI E HIJOS,NO USAR-DEP. DE LOGISTICA Y MANT. URBANO,Suministro 710/2021
2021,665,25-02-2021,5156.76,CASA BERNABE SCA,DEP. ELECTRICIDAD Y MECANICA,Suministro 527/2021
2021,676,25-02-2021,6500,FUNDAS DONADO,NO USAR-DIRECCION GRAL. DE TRANSITO,Suministro 672/2021
2021,693,25-02-2021,120000,ETCHANDE JULIAN GUIDO,SECRETARIA GENERAL,Suministro 693/2021
2021,706,25-02-2021,2000000,LA BRUJULA SERVICIOS PERIODISTICOS,SECRETARIA GENERAL,Suministro 736/2021
2021,709,26-02-2021,927001.8,COOPERATIVA DE TRABAJO CENTRO LTDA.,NO USAR-DEP. DE LOGISTICA Y MANT. URBANO,Suministro 723/2021
2021,713,26-02-2021,55500,NEGRO,H.C.D.,Suministro 748/2021
2021,728,26-02-2021,24850,MUHLEMANN RAUL BAUTISTA,SECRETARIA DE GESTION URBANA,Suministro 333/2021
2021,729,26-02-2021,10133.78,LA CASA DEL CARTUCHO - LUIS J. DREVNIAK MATERIALES ELECTRICOS,"SUBSECR. DE NINEZ, ADOLESC. Y FAMILIA",Suministro 571/2021
2021,739,26-02-2021,336000,COINCE BAHIA S.A.,SEC. DE INFRAESTRUCTURA,Suministro 802/2021
